node_code;node_type;wlan_code;x(m);y(m);z(m);primary_channel;min_channel_allowed;max_channel_allowed;is_ap
STA_E15;1;E;14.0301;18.7255;4.4425;0;0;7;0
STA_E16;1;E;11.3414;23.086;5.0217;0;0;7;0
STA_E17;1;E;13.098;17.9614;8.7106;0;0;7;0
STA_E18;1;E;1.5928;8.7264;8.5643;0;0;7;0
STA_E19;1;E;5.0116;19.9271;7.4193;0;0;7;0
STA_E20;1;E;1.3302;10.2823;9.4414;0;0;7;0
AP_F;0;F;18.75;15.0;3.8599;0;0;3;1
STA_F1;1;F;20.2629;9.6079;7.6294;0;0;3;0
STA_F2;1;F;16.2825;10.635;6.8747;0;0;3;0
STA_F3;1;F;16.9545;19.709;9.1101;0;0;3;0
STA_F4;1;F;19.2813;5.1975;6.2687;0;0;3;0
STA_F5;1;F;17.7684;23.1206;6.6118;0;0;3;0
STA_F6;1;F;9.9555;17.6473;9.7237;0;0;3;0
STA_F7;1;F;27.887;18.7962;5.5339;0;0;3;0
STA_F8;1;F;27.3394;18.1315;5.5406;0;0;3;0
STA_F9;1;F;22.9628;6.661;4.5003;0;0;3;0
STA_F10;1;F;12.7288;18.7934;5.9553;0;0;3;0
STA_F11;1;F;24.1349;8.8491;7.6637;0;0;3;0
STA_F12;1;F;26.9758;18.9384;6.3052;0;0;3;0
STA_F13;1;F;11.7852;14.9638;7.5072;0;0;3;0
STA_F14;1;F;15.6886;6.6426;4.2998;0;0;3;0
STA_F15;1;F;23.0745;9.5444;3.5366;0;0;3;0
STA_F16;1;F;18.4085;21.3802;5.8544;0;0;3;0
STA_F17;1;F;15.2907;13.9603;3.3668;0;0;3;0
STA_F18;1;F;17.7595;24.1627;6.4116;0;0;3;0
AP_G;0;G;31.25;15.0;6.6057;0;0;7;1
STA_G1;1;G;32.5845;24.8693;5.6716;0;0;7;0
STA_G2;1;G;37.6179;15.2515;5.3245;0;0;7;0
STA_G3;1;G;35.7876;6.5193;9.8303;0;0;7;0
STA_G4;1;G;32.3432;21.2248;4.7144;0;0;7;0
STA_G5;1;G;24.2251;11.8646;4.8087;0;0;7;0
STA_G6;1;G;33.1011;19.4462;3.3512;0;0;7;0
STA_G7;1;G;23.1192;20.1361;3.3685;0;0;7;0
STA_G8;1;G;34.7616;22.283;4.2965;0;0;7;0
STA_G9;1;G;29.8286;13.2737;9.4605;0;0;7;0
STA_G10;1;G;28.229;20.8291;6.9179;0;0;7;0
STA_G11;1;G;29.2025;22.1095;6.3436;0;0;7;0
STA_G12;1;G;34.4856;6.4771;8.4526;0;0;7;0
STA_G13;1;G;23.7975;15.9826;3.9272;0;0;7;0
AP_H;0;H;43.75;15.0;5.4512;0;0;3;1
STA_H1;1;H;43.7498;24.3158;7.1928;0;0;3;0
STA_H2;1;H;43.8422;9.0344;7.0831;0;0;3;0
STA_H3;1;H;41.6179;7.1179;6.126;0;0;3;0
STA_H4;1;H;40.6605;11.5697;6.3106;0;0;3;0
STA_H5;1;H;44.578;12.2835;7.9215;0;0;3;0
STA_H6;1;H;35.3823;18.6228;3.4813;0;0;3;0
STA_H7;1;H;36.8607;15.7781;5.9455;0;0;3;0
STA_H8;1;H;40.4804;10.5149;5.1158;0;0;3;0
STA_H9;1;H;40.1813;21.5171;7.2414;0;0;3;0
