node_code;node_type;wlan_code;x(m);y(m);z(m);primary_channel;min_channel_allowed;max_channel_allowed;is_ap
STA_C5;1;C;38.8468;6.6217;5.2554;0;0;3;0
STA_C6;1;C;33.7832;6.249;5.9687;0;0;3;0
STA_C7;1;C;29.1702;-2.289;3.8377;0;0;3;0
STA_C8;1;C;27.7237;-2.534;7.2465;0;0;3;0
STA_C9;1;C;33.2225;4.9868;4.1835;0;0;3;0
STA_C10;1;C;35.6745;-0.9603;6.9611;0;0;3;0
STA_C11;1;C;32.5432;13.9572;4.4314;0;0;3;0
STA_C12;1;C;34.4223;14.408;8.9806;0;0;3;0
STA_C13;1;C;27.1859;8.9426;6.9486;0;0;3;0
STA_C14;1;C;31.3995;2.2677;9.1332;0;0;3;0
STA_C15;1;C;26.1382;12.4887;8.9925;0;0;3;0
AP_D;0;D;43.75;5.0;4.5955;6;6;7;1
STA_D1;1;D;52.2944;2.1221;5.3913;6;6;7;0
STA_D2;1;D;48.792;0.6031;6.0125;6;6;7;0
STA_D3;1;D;37.8022;8.2059;4.9857;6;6;7;0
STA_D4;1;D;38.8737;7.8691;6.6883;6;6;7;0
STA_D5;1;D;46.6156;5.5445;4.7909;6;6;7;0
STA_D6;1;D;46.9512;-2.3406;3.2169;6;6;7;0
STA_D7;1;D;39.6945;8.6896;9.3868;6;6;7;0
STA_D8;1;D;42.3724;3.1939;7.6421;6;6;7;0
STA_D9;1;D;40.4472;12.3848;5.9863;6;6;7;0
STA_D10;1;D;35.6098;9.8734;5.8779;6;6;7;0
STA_D11;1;D;37.1787;11.0185;6.971;6;6;7;0
STA_D12;1;D;44.9638;-3.5267;9.5819;6;6;7;0
STA_D13;1;D;37.5204;1.6762;4.7946;6;6;7;0
AP_E;0;E;6.25;15.0;9.2754;2;2;3;1
STA_E1;1;E;6.5284;9.3901;4.9984;2;2;3;0
STA_E2;1;E;10.9425;20.2525;5.3073;2;2;3;0
STA_E3;1;E;3.0207;9.0559;9.5841;2;2;3;0
STA_E4;1;E;10.933;19.7385;3.967;2;2;3;0
STA_E5;1;E;14.466;18.2225;6.8109;2;2;3;0
STA_E6;1;E;12.7331;14.8156;6.5858;2;2;3;0
STA_E7;1;E;1.4965;16.6044;9.4065;2;2;3;0
STA_E8;1;E;2.6524;6.1582;4.5455;2;2;3;0
STA_E9;1;E;13.6223;13.7443;8.6003;2;2;3;0
STA_E10;1;E;9.9827;7.942;6.1223;2;2;3;0
STA_E11;1;E;4.9414;19.4931;8.0323;2;2;3;0
STA_E12;1;E;9.2363;8.9205;5.3405;2;2;3;0
STA_E13;1;E;12.1702;22.2982;3.2671;2;2;3;0
STA_E14;1;E;3.4427;18.3729;9.2473;2;2;3;0
STA_E15;1;E;8.5336;18.521;3.7642;2;2;3;0
STA_E16;1;E;10.465;10.158;5.0196;2;2;3;0
STA_E17;1;E;2.5006;19.5952;6.4474;2;2;3;0
STA_E18;1;E;6.2251;8.9289;6.1449;2;2;3;0
STA_E19;1;E;14.2119;16.1147;9.1741;2;2;3;0
STA_E20;1;E;6.8686;17.3474;8.7602;2;2;3;0
AP_F;0;F;18.75;15.0;3.0769;0;0;7;1
STA_F1;1;F;10.2396;16.8758;5.7176;0;0;7;0
STA_F2;1;F;20.3817;8.6633;5.4016;0;0;7;0
STA_F3;1;F;12.3471;19.9251;3.356;0;0;7;0
STA_F4;1;F;15.1732;14.3847;6.2555;0;0;7;0
STA_F5;1;F;27.7104;17.2453;8.1325;0;0;7;0
STA_F6;1;F;12.0356;11.9119;3.127;0;0;7;0
STA_F7;1;F;24.0228;14.6168;7.6331;0;0;7;0
STA_F8;1;F;22.2626;5.8845;5.8431;0;0;7;0
STA_F9;1;F;19.9049;17.8412;3.8369;0;0;7;0
STA_F10;1;F;9.473;15.9121;9.3633;0;0;7;0
STA_F11;1;F;18.7545;23.8913;5.5532;0;0;7;0
STA_F12;1;F;14.1712;13.0749;8.2567;0;0;7;0
STA_F13;1;F;17.4698;15.0182;6.5302;0;0;7;0
STA_F14;1;F;25.7883;14.0048;6.6094;0;0;7;0
AP_G;0;G;31.25;15.0;5.206;0;0;7;1
STA_G1;1;G;30.6148;23.2611;5.7975;0;0;7;0
STA_G2;1;G;31.6727;8.6677;9.3813;0;0;7;0
STA_G3;1;G;35.1404;13.3506;5.0021;0;0;7;0
STA_G4;1;G;31.4024;12.8133;8.8409;0;0;7;0
STA_G5;1;G;39.0934;14.0175;8.7424;0;0;7;0
STA_G6;1;G;29.928;24.4952;8.3405;0;0;7;0
STA_G7;1;G;26.7824;15.0174;7.8396;0;0;7;0
STA_G8;1;G;39.9958;14.0924;9.6318;0;0;7;0
STA_G9;1;G;40.3485;14.2786;9.6713;0;0;7;0
STA_G10;1;G;34.0433;12.9498;3.7282;0;0;7;0
STA_G11;1;G;30.4397;5.6845;6.5021;0;0;7;0
STA_G12;1;G;37.1402;22.4;7.5863;0;0;7;0
STA_G13;1;G;35.5844;19.3354;4.465;0;0;7;0
STA_G14;1;G;35.9979;8.4981;7.1214;0;0;7;0
STA_G15;1;G;34.2544;12.0926;8.3316;0;0;7;0
STA_G16;1;G;32.7345;22.3896;7.3728;0;0;7;0
STA_G17;1;G;28.5254;5.6366;3.4759;0;0;7;0
STA_G18;1;G;33.6314;23.3703;3.22;0;0;7;0
STA_G19;1;G;32.7536;18.8441;8.3765;0;0;7;0
AP_H;0;H;43.75;15.0;6.8366;2;2;3;1
STA_H1;1;H;37.6166;17.0298;4.028;2;2;3;0
STA_H2;1;H;41.719;9.0835;5.6461;2;2;3;0
STA_H3;1;H;45.6955;20.3191;4.7819;2;2;3;0
STA_H4;1;H;47.8212;15.2681;7.0894;2;2;3;0
STA_H5;1;H;45.5068;12.1102;6.6165;2;2;3;0
STA_H6;1;H;50.5968;16.5748;5.9939;2;2;3;0
STA_H7;1;H;43.564;23.7891;7.3104;2;2;3;0
STA_H8;1;H;51.5767;11.2943;8.3907;2;2;3;0
STA_H9;1;H;43.7175;17.5073;5.28;2;2;3;0
STA_H10;1;H;48.6871;12.3925;9.5589;2;2;3;0
STA_H11;1;H;47.3364;20.3092;4.2188;2;2;3;0
