node_code;node_type;wlan_code;x(m);y(m);z(m);primary_channel;min_channel_allowed;max_channel_allowed;is_ap
STA_C8;1;C;32.2631;-0.1263;5.2609;0;0;7;0
STA_C9;1;C;29.8187;0.828;9.3113;0;0;7;0
STA_C10;1;C;34.0378;-1.8196;6.074;0;0;7;0
STA_C11;1;C;34.0775;-4.0492;4.8676;0;0;7;0
STA_C12;1;C;37.9195;4.0076;6.1669;0;0;7;0
STA_C13;1;C;36.0295;1.5188;3.8354;0;0;7;0
STA_C14;1;C;26.8844;12.3072;5.9002;0;0;7;0
STA_C15;1;C;22.9715;4.3621;5.55;0;0;7;0
STA_C16;1;C;34.9093;-2.8282;3.9359;0;0;7;0
AP_D;0;D;43.75;5.0;5.7844;4;4;5;1
STA_D1;1;D;34.6465;7.7233;8.4456;4;4;5;0
STA_D2;1;D;48.0802;4.239;9.3269;4;4;5;0
STA_D3;1;D;38.3742;4.8827;5.299;4;4;5;0
STA_D4;1;D;45.5371;5.3564;4.2083;4;4;5;0
STA_D5;1;D;42.9765;0.5608;3.9735;4;4;5;0
STA_D6;1;D;48.2336;7.0688;9.2686;4;4;5;0
STA_D7;1;D;50.5728;8.5327;3.7372;4;4;5;0
STA_D8;1;D;37.4219;5.3972;5.8555;4;4;5;0
STA_D9;1;D;40.3319;-1.4437;3.7679;4;4;5;0
STA_D10;1;D;47.8509;9.3504;6.4149;4;4;5;0
AP_E;0;E;6.25;15.0;5.8827;0;0;7;1
STA_E1;1;E;1.0981;21.4313;8.1445;0;0;7;0
STA_E2;1;E;10.9805;14.6199;4.0933;0;0;7;0
STA_E3;1;E;6.3001;9.4972;6.262;0;0;7;0
STA_E4;1;E;1.8532;13.9655;4.3424;0;0;7;0
STA_E5;1;E;6.7682;16.9163;5.6087;0;0;7;0
STA_E6;1;E;5.9662;12.3943;6.4032;0;0;7;0
STA_E7;1;E;5.4362;8.1807;4.4576;0;0;7;0
STA_E8;1;E;10.4129;19.3444;9.5376;0;0;7;0
STA_E9;1;E;8.1738;7.5588;9.1751;0;0;7;0
STA_E10;1;E;4.5225;7.1955;3.023;0;0;7;0
STA_E11;1;E;-1.2543;16.1744;5.7426;0;0;7;0
AP_F;0;F;18.75;15.0;7.9575;0;0;3;1
STA_F1;1;F;13.2215;19.0344;7.3083;0;0;3;0
STA_F2;1;F;27.3752;14.1423;4.5323;0;0;3;0
STA_F3;1;F;15.1332;10.8134;3.3687;0;0;3;0
STA_F4;1;F;28.3155;14.9158;8.6581;0;0;3;0
STA_F5;1;F;21.8358;7.4356;3.8807;0;0;3;0
STA_F6;1;F;22.1893;9.3936;3.3525;0;0;3;0
STA_F7;1;F;17.0752;6.4569;6.4063;0;0;3;0
STA_F8;1;F;16.582;15.1425;4.533;0;0;3;0
STA_F9;1;F;26.7965;15.3689;8.8316;0;0;3;0
STA_F10;1;F;14.5619;6.6956;5.0005;0;0;3;0
STA_F11;1;F;23.7656;17.0328;4.3124;0;0;3;0
STA_F12;1;F;18.5743;7.2716;5.6271;0;0;3;0
STA_F13;1;F;10.0804;10.6019;3.8018;0;0;3;0
STA_F14;1;F;21.3124;16.7087;8.6021;0;0;3;0
AP_G;0;G;31.25;15.0;3.6664;0;0;3;1
STA_G1;1;G;35.575;16.6872;7.7788;0;0;3;0
STA_G2;1;G;26.2562;9.2561;7.5702;0;0;3;0
STA_G3;1;G;23.9297;13.6701;6.2235;0;0;3;0
STA_G4;1;G;39.3531;14.8504;3.2028;0;0;3;0
STA_G5;1;G;31.5841;6.0149;9.4382;0;0;3;0
STA_G6;1;G;32.3264;13.893;6.1928;0;0;3;0
STA_G7;1;G;31.9893;8.0289;8.6955;0;0;3;0
STA_G8;1;G;36.9076;15.5674;6.9989;0;0;3;0
STA_G9;1;G;31.8693;18.8915;3.2055;0;0;3;0
STA_G10;1;G;27.22;12.6857;5.4224;0;0;3;0
STA_G11;1;G;24.719;17.2314;3.131;0;0;3;0
STA_G12;1;G;40.3401;14.8825;6.0293;0;0;3;0
STA_G13;1;G;33.61;20.6681;4.6438;0;0;3;0
STA_G14;1;G;40.1204;11.6169;7.8928;0;0;3;0
STA_G15;1;G;32.3281;10.6566;4.0208;0;0;3;0
STA_G16;1;G;31.1161;17.4143;9.9001;0;0;3;0
STA_G17;1;G;28.55;9.4748;5.8923;0;0;3;0
STA_G18;1;G;30.195;18.4666;5.3728;0;0;3;0
AP_H;0;H;43.75;15.0;7.2319;0;0;3;1
STA_H1;1;H;39.2511;9.6291;6.4923;0;0;3;0
STA_H2;1;H;39.812;13.7716;8.5114;0;0;3;0
STA_H3;1;H;46.4242;8.8451;8.3208;0;0;3;0
STA_H4;1;H;38.8639;11.3028;5.6791;0;0;3;0
STA_H5;1;H;51.8105;14.2493;8.008;0;0;3;0
STA_H6;1;H;45.8895;21.1968;7.4119;0;0;3;0
STA_H7;1;H;52.6982;15.4736;3.2195;0;0;3;0
STA_H8;1;H;46.643;18.826;5.3344;0;0;3;0
STA_H9;1;H;44.3059;20.9924;3.0544;0;0;3;0
STA_H10;1;H;35.1716;14.497;3.0457;0;0;3;0
STA_H11;1;H;45.9118;6.7652;3.326;0;0;3;0
STA_H12;1;H;49.6862;22.3757;3.7659;0;0;3;0
STA_H13;1;H;50.3445;9.7744;7.8851;0;0;3;0
STA_H14;1;H;42.8834;23.9314;9.4908;0;0;3;0
STA_H15;1;H;48.2066;22.3342;3.4363;0;0;3;0
STA_H16;1;H;40.2651;16.5416;6.4771;0;0;3;0
STA_H17;1;H;51.5246;10.9909;5.8075;0;0;3;0
STA_H18;1;H;48.4838;9.1994;3.774;0;0;3;0
