node_code;node_type;wlan_code;x(m);y(m);z(m);max_channel_allowed;is_ap
STA_E15;1;E;12.893;7.6939;6.4685;3;0
STA_E16;1;E;2.3184;23.3018;5.4964;3;0
STA_E17;1;E;5.3276;10.6887;8.1425;3;0
STA_E18;1;E;5.6114;5.5459;5.7821;3;0
AP_F;0;F;18.75;15.0;3.8559;3;1
STA_F1;1;F;22.0293;20.2389;6.1354;3;0
STA_F2;1;F;27.6618;15.5369;6.4889;3;0
STA_F3;1;F;22.0633;19.8942;9.6383;3;0
STA_F4;1;F;25.9674;9.5271;4.9093;3;0
STA_F5;1;F;11.329;12.5706;8.294;3;0
STA_F6;1;F;11.7948;16.4462;4.9627;3;0
STA_F7;1;F;11.5366;19.506;5.1531;3;0
STA_F8;1;F;12.8555;20.591;3.1851;3;0
STA_F9;1;F;12.9427;9.2448;3.7621;3;0
STA_F10;1;F;14.4519;21.6678;3.9756;3;0
STA_F11;1;F;18.2481;21.6406;6.1591;3;0
AP_G;0;G;31.25;15.0;9.4413;3;1
STA_G1;1;G;37.9793;13.2843;5.1032;3;0
STA_G2;1;G;40.0122;13.7759;4.5446;3;0
STA_G3;1;G;24.9716;10.3025;6.9483;3;0
STA_G4;1;G;25.7466;15.6801;5.1612;3;0
STA_G5;1;G;26.6062;11.9392;8.2177;3;0
STA_G6;1;G;32.8365;8.7966;9.3822;3;0
STA_G7;1;G;34.6129;9.0265;5.7999;3;0
STA_G8;1;G;29.7926;21.7614;9.1766;3;0
STA_G9;1;G;34.3464;20.284;7.1235;3;0
STA_G10;1;G;29.4591;18.6188;8.4389;3;0
STA_G11;1;G;25.7456;11.4104;6.1319;3;0
STA_G12;1;G;32.1726;18.6182;3.7796;3;0
STA_G13;1;G;26.3127;21.4896;9.032;3;0
STA_G14;1;G;29.2671;24.0511;6.7507;3;0
STA_G15;1;G;40.1308;14.638;3.115;3;0
AP_H;0;H;43.75;15.0;6.9141;3;1
STA_H1;1;H;47.0005;8.7318;4.4224;3;0
STA_H2;1;H;44.4132;21.387;9.6447;3;0
STA_H3;1;H;49.5071;10.5981;6.6704;3;0
STA_H4;1;H;46.1807;18.4702;6.4763;3;0
STA_H5;1;H;51.4886;13.2901;9.5136;3;0
STA_H6;1;H;50.7685;10.4657;6.1703;3;0
STA_H7;1;H;40.701;6.464;3.8153;3;0
STA_H8;1;H;42.1513;11.211;6.1776;3;0
STA_H9;1;H;40.2945;15.6219;5.385;3;0
STA_H10;1;H;35.7017;17.9737;4.1339;3;0
STA_H11;1;H;40.4718;19.9046;8.0101;3;0
STA_H12;1;H;37.8985;14.9678;3.2562;3;0
STA_H13;1;H;35.786;9.0529;3.5143;3;0
STA_H14;1;H;45.0862;24.4285;6.6496;3;0
STA_H15;1;H;50.4581;22.415;9.8339;3;0
STA_H16;1;H;38.4979;10.7599;3.0299;3;0
STA_H17;1;H;41.0547;18.0891;5.775;3;0
STA_H18;1;H;39.1751;18.7904;7.6513;3;0
