node_code;node_type;wlan_code;x(m);y(m);z(m);max_channel_allowed;is_ap
STA_F3;1;F;16.0598;13.4583;7.3356;7;0
STA_F4;1;F;27.3805;11.3332;9.9499;7;0
STA_F5;1;F;11.0616;11.5004;8.9589;7;0
STA_F6;1;F;15.8077;24.3639;5.0979;7;0
STA_F7;1;F;12.9901;11.4142;7.0563;7;0
STA_F8;1;F;11.4176;8.6158;5.3172;7;0
STA_F9;1;F;19.6562;22.7423;5.6742;7;0
STA_F10;1;F;12.0739;19.6711;3.0188;7;0
AP_G;0;G;31.25;15.0;8.2385;7;1
STA_G1;1;G;26.743;13.136;8.4372;7;0
STA_G2;1;G;33.9893;9.2239;9.951;7;0
STA_G3;1;G;23.3688;12.674;4.6432;7;0
STA_G4;1;G;35.1509;9.6033;6.4504;7;0
STA_G5;1;G;28.2785;17.8891;3.2802;7;0
STA_G6;1;G;39.7576;16.9083;5.2745;7;0
STA_G7;1;G;38.2564;9.9974;4.1067;7;0
STA_G8;1;G;25.3149;8.1675;4.9659;7;0
STA_G9;1;G;26.7014;10.6033;4.3653;7;0
STA_G10;1;G;28.1992;19.3932;8.2676;7;0
STA_G11;1;G;37.8702;11.9881;7.327;7;0
STA_G12;1;G;37.1057;10.083;6.2234;7;0
STA_G13;1;G;37.4153;20.434;3.8065;7;0
STA_G14;1;G;26.3617;20.797;4.9218;7;0
STA_G15;1;G;40.4215;17.1346;5.118;7;0
AP_H;0;H;43.75;15.0;4.4898;3;1
STA_H1;1;H;47.7426;7.9822;6.9473;3;0
STA_H2;1;H;47.26;10.0658;9.4775;3;0
STA_H3;1;H;40.159;15.5633;4.0445;3;0
STA_H4;1;H;47.1168;17.7729;5.2537;3;0
STA_H5;1;H;46.4449;20.4586;8.1728;3;0
STA_H6;1;H;38.1263;10.4079;6.1377;3;0
STA_H7;1;H;35.0857;13.8047;5.3082;3;0
STA_H8;1;H;50.6954;21.3161;4.2284;3;0
STA_H9;1;H;42.3182;10.8305;6.0871;3;0
STA_H10;1;H;47.6956;24.0175;8.8995;3;0
STA_H11;1;H;39.3623;18.5614;4.0927;3;0
STA_H12;1;H;42.7071;18.5623;5.346;3;0
STA_H13;1;H;38.1135;22.2679;8.963;3;0
