node_code node_type wlan_code x(m) y(m) z(m) min_channel_allowed max_channel_allowed
STA_E6 1 E -0.9897 10.7012 4.1828 2 3
STA_E7 1 E 9.9959 13.2011 5.28 2 3
STA_E8 1 E 2.2966 21.1526 7.7012 2 3
STA_E9 1 E 7.5416 10.904 4.5057 2 3
STA_E10 1 E 9.8916 18.1715 6.4599 2 3
STA_E11 1 E 11.3119 14.7861 3.3806 2 3
STA_E12 1 E -0.1608 16.7772 9.2137 2 3
STA_E13 1 E 1.6052 21.8734 7.0604 2 3
STA_E14 1 E 15.5699 14.5663 4.2744 2 3
AP_F 0 F 18.75 15.0 5.9265 0 3
STA_F1 1 F 13.3438 19.1229 3.9615 0 3
STA_F2 1 F 11.3221 11.997 4.0568 0 3
STA_F3 1 F 16.8027 12.0576 4.0253 0 3
STA_F4 1 F 22.8553 12.3528 4.5002 0 3
STA_F5 1 F 20.628 13.2449 6.3186 0 3
STA_F6 1 F 23.5489 19.166 9.3257 0 3
STA_F7 1 F 16.815 20.6703 4.0246 0 3
STA_F8 1 F 21.706 13.5253 7.5421 0 3
STA_F9 1 F 25.496 14.2222 8.5332 0 3
STA_F10 1 F 21.0157 9.8479 6.9319 0 3
STA_F11 1 F 16.9722 17.4944 7.4746 0 3
STA_F12 1 F 13.9145 16.1866 6.3827 0 3
STA_F13 1 F 14.3797 10.5898 5.7214 0 3
STA_F14 1 F 23.4866 14.5004 9.3401 0 3
STA_F15 1 F 10.5119 20.5433 4.5981 0 3
STA_F16 1 F 13.2888 9.7723 3.3505 0 3
STA_F17 1 F 15.278 11.0491 5.0254 0 3
STA_F18 1 F 26.824 10.9397 8.4311 0 3
STA_F19 1 F 11.6258 20.1527 7.9003 0 3
STA_F20 1 F 11.3206 9.3472 3.9354 0 3
AP_G 0 G 31.25 15.0 7.4988 0 7
STA_G1 1 G 33.7047 5.9334 4.0916 0 7
STA_G2 1 G 35.712 18.9955 9.4961 0 7
STA_G3 1 G 25.256 9.738 5.1881 0 7
STA_G4 1 G 24.3136 15.2418 6.9643 0 7
STA_G5 1 G 29.6154 22.8464 7.3036 0 7
STA_G6 1 G 33.1909 14.0666 5.6501 0 7
STA_G7 1 G 27.59 10.0846 7.3548 0 7
STA_G8 1 G 33.0318 13.3834 8.4199 0 7
STA_G9 1 G 30.4929 5.6577 8.9754 0 7
STA_G10 1 G 32.607 22.9496 7.6327 0 7
STA_G11 1 G 35.8265 8.2523 9.8744 0 7
STA_G12 1 G 29.2176 18.5423 5.2532 0 7
STA_G13 1 G 36.6785 20.2559 7.4453 0 7
STA_G14 1 G 29.6882 6.177 9.3496 0 7
STA_G15 1 G 26.0686 12.8952 7.0717 0 7
STA_G16 1 G 22.8023 18.2921 6.1747 0 7
STA_G17 1 G 27.4765 14.5624 7.3181 0 7
STA_G18 1 G 27.0697 18.4577 7.5105 0 7
STA_G19 1 G 37.8417 19.5473 7.7734 0 7
STA_G20 1 G 39.9546 19.5623 3.9391 0 7
AP_H 0 H 43.75 15.0 3.1483 0 7
STA_H1 1 H 39.5757 6.2108 6.1093 0 7
STA_H2 1 H 43.978 24.3293 8.9168 0 7
STA_H3 1 H 52.2218 10.3898 7.7598 0 7
STA_H4 1 H 50.7581 15.6173 5.6117 0 7
STA_H5 1 H 40.1086 19.2887 4.43 0 7
STA_H6 1 H 47.1433 8.5485 4.0905 0 7
STA_H7 1 H 39.4744 18.8467 7.1815 0 7
STA_H8 1 H 38.2133 20.4659 8.4265 0 7
STA_H9 1 H 45.9076 16.5008 9.4608 0 7
STA_H10 1 H 46.6375 17.0117 8.5012 0 7
STA_H11 1 H 44.5275 18.3534 4.5942 0 7
STA_H12 1 H 44.9546 22.1159 4.692 0 7
STA_H13 1 H 46.1154 9.9355 8.6154 0 7
