node_code node_type wlan_code x(m) y(m) z(m) min_channel_allowed max_channel_allowed
STA_F1 1 F 24.9503 10.186 5.1706 4 5
STA_F2 1 F 13.21 17.7352 8.1954 4 5
STA_F3 1 F 22.7717 23.1812 9.3625 4 5
STA_F4 1 F 12.568 21.13 9.4929 4 5
STA_F5 1 F 26.3571 10.8197 9.2218 4 5
STA_F6 1 F 16.7731 15.3901 5.7867 4 5
STA_F7 1 F 16.4839 19.969 7.9693 4 5
STA_F8 1 F 13.6433 22.1417 4.3245 4 5
AP_G 0 G 31.25 15.0 9.0192 0 7
STA_G1 1 G 30.2182 23.6936 3.0898 0 7
STA_G2 1 G 29.0564 19.4379 3.0183 0 7
STA_G3 1 G 29.35 23.1336 7.4839 0 7
STA_G4 1 G 35.6464 13.5949 7.1216 0 7
STA_G5 1 G 25.9445 18.6556 4.0048 0 7
STA_G6 1 G 36.3129 20.8433 5.5879 0 7
STA_G7 1 G 38.3924 8.9684 8.0079 0 7
STA_G8 1 G 34.7911 11.3934 3.4623 0 7
STA_G9 1 G 39.4312 9.6235 6.6894 0 7
STA_G10 1 G 35.5008 18.9442 5.9447 0 7
STA_G11 1 G 35.4008 11.0931 8.9961 0 7
STA_G12 1 G 27.4442 9.0316 6.7309 0 7
AP_H 0 H 43.75 15.0 5.6869 0 7
STA_H1 1 H 50.2655 7.7792 9.9207 0 7
STA_H2 1 H 48.3154 20.0591 9.3849 0 7
STA_H3 1 H 50.0433 17.1475 6.4379 0 7
STA_H4 1 H 49.6396 14.8908 3.2817 0 7
STA_H5 1 H 50.5933 10.9964 4.2159 0 7
STA_H6 1 H 49.8461 7.5801 7.4365 0 7
STA_H7 1 H 46.8454 24.469 9.3048 0 7
STA_H8 1 H 50.0714 19.8447 5.1097 0 7
STA_H9 1 H 37.643 18.2457 8.7766 0 7
STA_H10 1 H 42.3323 16.9894 8.2332 0 7
STA_H11 1 H 52.919 14.689 7.144 0 7
STA_H12 1 H 47.6767 17.2587 7.3705 0 7
STA_H13 1 H 34.6076 12.4141 8.9967 0 7
STA_H14 1 H 52.0347 14.3333 7.0653 0 7
STA_H15 1 H 46.2218 22.0884 7.21 0 7
STA_H16 1 H 42.3218 6.817 4.2242 0 7
